"Bob Cousy",,,,,,,,,6903,8259,9578,10744,12041,13498,14876,16051,17054,17054,17054,17054,17054,17054,17054,17059,17059
"Bob Dandridge",,,,,,,,5786,7068,8577,10138,11612,13150,14664,15391,15503,15530,15530,15530,15530,15530,15530,15530,15530,15530
"Bob Lanier",,,,,,3337,5264,7086,8909,10275,11891,13433,14686,15894,16855,17851,18268,19246,19246,19246,19246,19246,19246,19246,19246
"Bob Love",,,,,,,,,,,,,,,12358,13659,13896,13896,13896,13896,13896,13896,13896,13896,13896
"Bob McAdoo",,,,1441,3702,6533,8960,10821,12918,14405,15625,15790,16182,16885,17801,18491,18785,18785,18785,18785,18785,18785,18785,18785,18785
"Bob Pettit",,,,,,3811,5683,7414,9487,11437,13719,16125,18373,20227,20880,20880,20880,20880,20880,20880,20880,20880,20880,20880,20880
"Brad Daugherty",,,,1253,2733,4208,4898,6543,8109,9541,10389,10389,,,,,,,,,,,,,
"Bradley Beal",,780,2029,2991,3949,5728,7585,9684,11425,13303,14231,14925,14925,14925,14925,14925,14925,14925,14925,14925,14925,14925,14925,14925,14925
"Brandon Boston Jr.",,20,,,,,,,,,,,,,,,,,,,,,,,
"Brandon Ingram",,740,1689,2639,4116,5566,6812,7266,7266,,,,,,,,,,,,,,,,
"Brandon Jennings",,,1270,2289,3549,4946,6187,6819,7151,,,,,,,,,,,,,,,,
"Brandon Knight",,,1086,1913,3443,4599,5473,5820,,,,,,,,,,,,,,,,,
"Brandon Roy",,,,,,,,5534,,,,,,,,,,,,,,,,,
"Brian Winters",,,,,,,,,,7956,,,,,,,,,,,,,,,
"Brook Lopez",,,951,2497,4077,4379,5645,6168,7222,8889,10321,11332,12376,13084,13750,14173,15007,15007,15007,15007,15007,15007,15007,15007,15007
"Bruno Šundov",,28,,,,,,,,,,,,,,,,,,,,,,,
"Bryce McGowens",,16,,,,,,,,,,,,,,,,,,,,,,,
"Buck Williams",,,,,2299,3624,5081,6469,7777,9093,10170,11269,12227,13152,13834,14681,15344,15897,16480,16758,16784,16784,16784,16784,16784
"Byron Scott",,,,,,,,,,,,10076,11244,12080,12764,13629,14434,15040,15097,15097,15097,15097,15097,15097,15097
"C.J. Miles",41,174,,,,,,,,,,,,,,,,,,,,,,,
"Cade Cunningham",,,1114,1353,,,,,,,,,,,,,,,,,,,,,
"Caleb Houstan",,119,,,,,,,,,,,,,,,,,,,,,,,
"Calvin Murphy",,,,,,,,5442,6897,8619,10083,12030,13690,15210,16476,17131,17947,17947,17947,17947,17947,17947,17947,17947,17947
"Calvin Natt",,,,,,,,,,,9126,,,,,,,,,,,,,,
"Cam Reddish",,,610,,,,,,,,,,,,,,,,,,,,,,
"Cam Thomas",,,570,,,,,,,,,,,,,,,,,,,,,,
"Carl Braun",,,668,1481,2510,,,,,,,,,,,,,,,,,,,,
"Carlos Boozer",,,,,2174,,,,6921,,,,10950,12245,13301,13976,13976,13976,13976,13976,13976,13976,13976,13976,13976
"Carmelo Anthony",,1725,3283,5405,7286,9264,10768,12711,14681,15926,17846,19958,20924,22497,24156,25417,25551,26314,27370,28289,28289,28289,28289,28289,28289
"Charles Barkley",,,,,2174,3713,5684,7805,9856,11906,13513,15396,16893,18389,20112,21451,22545,22888,23755,23757,23757,23757,23757,23757,23757
"Chauncey Billups",,,,,,,,,,,,,,,12612,14039,15247,15546,15730,15802,15802,15802,15802,15802,15802
"Chet Walker",,,,,,,,,,,,10410,12196,13859,15365,17098,18487,18820,18820,18820,18820,18820,18820,18820,18820
"Chris Bosh",,704,1930,3773,5089,6577,8324,10090,11513,12494,13819,15082,16179,17189,17189,17189,17189,17189,17189,17189,17189,17189,17189,17189,17189
"Chris Mullin",,,,,,,,,7355,9462,11536,12727,13767,14243,14977,16120,17047,17554,17796,17911,17911,17911,17911,17911,17911
"Chris Paul",,,1258,2362,4046,5827,6668,7936,9125,10311,11496,13060,14506,15610,16691,17597,18711,19882,20936,21413,21413,21413,21413,21413,21413
