NBA LINK,PLAYER,ID,HEADSHOT
https://www.nba.com/stats/player/76233/career/,Bill Bradley,76233,https://cdn.nba.com/headshots/nba/latest/1040x760/76233.png
https://www.nba.com/stats/player/76230/career/,Charles Bradley,76230,https://cdn.nba.com/headshots/nba/latest/1040x760/76230.png
https://www.nba.com/stats/player/76231/career/,Dudley Bradley,76231,https://cdn.nba.com/headshots/nba/latest/1040x760/76231.png
https://www.nba.com/stats/player/76232/career/,Joe Bradley,76232,https://cdn.nba.com/headshots/nba/latest/1040x760/76232.png
https://www.nba.com/stats/player/2214/career/,Michael Bradley,2214,https://cdn.nba.com/headshots/nba/latest/1040x760/2214.png
https://www.nba.com/stats/player/762/career/,Shawn Bradley,762,https://cdn.nba.com/headshots/nba/latest/1040x760/762.png
https://www.nba.com/player/1628396/tony-bradley/,Tony Bradley,1628396,https://cdn.nba.com/headshots/nba/latest/1040x760/1628396.png
https://www.nba.com/stats/player/1361/career/,Mark Bradtke,1361,https://cdn.nba.com/headshots/nba/latest/1040x760/1361.png
https://www.nba.com/stats/player/66/career/,Marques Bragg,66,https://cdn.nba.com/headshots/nba/latest/1040x760/66.png
https://www.nba.com/stats/player/1765/career/,Torraye Braggs,1765,https://cdn.nba.com/headshots/nba/latest/1040x760/1765.png
https://www.nba.com/stats/player/1920/career/,A.J. Bramlett,1920,https://cdn.nba.com/headshots/nba/latest/1040x760/1920.png
https://www.nba.com/stats/player/76237/career/,Adrian Branch,76237,https://cdn.nba.com/headshots/nba/latest/1040x760/76237.png
https://www.nba.com/stats/player/1882/career/,Elton Brand,1882,https://cdn.nba.com/headshots/nba/latest/1040x760/1882.png
https://www.nba.com/stats/player/210/career/,Terrell Brandon,210,https://cdn.nba.com/headshots/nba/latest/1040x760/210.png
https://www.nba.com/player/1631103/malaki-branham/,Malaki Branham,1631103,https://cdn.nba.com/headshots/nba/latest/1040x760/1631103.png
https://www.nba.com/stats/player/76238/career/,Bob Brannum,76238,https://cdn.nba.com/headshots/nba/latest/1040x760/76238.png
https://www.nba.com/stats/player/76239/career/,Brad Branson,76239,https://cdn.nba.com/headshots/nba/latest/1040x760/76239.png
https://www.nba.com/stats/player/76240/career/,Jesse Branson,76240,https://cdn.nba.com/headshots/nba/latest/1040x760/76240.png
https://www.nba.com/stats/player/1629714/career/,Jarrell Brantley,1629714,https://cdn.nba.com/headshots/nba/latest/1040x760/1629714.png
https://www.nba.com/stats/player/76241/career/,Jim Brasco,76241,https://cdn.nba.com/headshots/nba/latest/1040x760/76241.png
https://www.nba.com/stats/player/76242/career/,Mike Bratz,76242,https://cdn.nba.com/headshots/nba/latest/1040x760/76242.png
https://www.nba.com/stats/player/76243/career/,Carl Braun,76243,https://cdn.nba.com/headshots/nba/latest/1040x760/76243.png
https://www.nba.com/player/1631128/christian-braun/,Christian Braun,1631128,https://cdn.nba.com/headshots/nba/latest/1040x760/1631128.png
https://www.nba.com/stats/player/1629649/career/,Ignas Brazdeikis,1629649,https://cdn.nba.com/headshots/nba/latest/1040x760/1629649.png
https://www.nba.com/player/1642886/koby-brea/,Koby Brea,1642886,https://cdn.nba.com/headshots/nba/latest/1040x760/1642886.png
https://www.nba.com/stats/player/160/career/,Tim Breaux,160,https://cdn.nba.com/headshots/nba/latest/1040x760/160.png
https://www.nba.com/stats/player/2452/career/,J.R. Bremer,2452,https://cdn.nba.com/headshots/nba/latest/1040x760/2452.png
https://www.nba.com/stats/player/76245/career/,Pete Brennan,76245,https://cdn.nba.com/headshots/nba/latest/1040x760/76245.png
https://www.nba.com/stats/player/76246/career/,Tom Brennan,76246,https://cdn.nba.com/headshots/nba/latest/1040x760/76246.png
https://www.nba.com/stats/player/76247/career/,Randy Breuer,76247,https://cdn.nba.com/headshots/nba/latest/1040x760/76247.png
https://www.nba.com/stats/player/201147/career/,Corey Brewer,201147,https://cdn.nba.com/headshots/nba/latest/1040x760/201147.png
https://www.nba.com/stats/player/2249/career/,Jamison Brewer,2249,https://cdn.nba.com/headshots/nba/latest/1040x760/2249.png
https://www.nba.com/stats/player/76248/career/,Jim Brewer,76248,https://cdn.nba.com/headshots/nba/latest/1040x760/76248.png
https://www.nba.com/stats/player/76249/career/,Ron Brewer,76249,https://cdn.nba.com/headshots/nba/latest/1040x760/76249.png
https://www.nba.com/stats/player/200758/career/,Ronnie Brewer,200758,https://cdn.nba.com/headshots/nba/latest/1040x760/200758.png
https://www.nba.com/stats/player/2056/career/,Primoz Brezec,2056,https://cdn.nba.com/headshots/nba/latest/1040x760/2056.png
https://www.nba.com/stats/player/76250/career/,Frank Brian,76250,https://cdn.nba.com/headshots/nba/latest/1040x760/76250.png
https://www.nba.com/stats/player/783/career/,Frank Brickowski,783,https://cdn.nba.com/headshots/nba/latest/1040x760/783.png
https://www.nba.com/stats/player/76252/career/,Junior Bridgeman,76252,https://cdn.nba.com/headshots/nba/latest/1040x760/76252.png
https://www.nba.com/stats/player/76253/career/,Bill Bridges,76253,https://cdn.nba.com/headshots/nba/latest/1040x760/76253.png
https://www.nba.com/stats/player/1641779/career/,Jalen Bridges,1641779,https://cdn.nba.com/headshots/nba/latest/1040x760/1641779.png
