,NCAA,Inter,G League,HS,,,NCAA,Inter,G League,HS,,,,,,Ronald Holland II,Detroit Pistons,Ignite (G League),2024,1,5,5,G League,YES,,Duke,71,NCAA
,,,,,,,,,,,,,,,,Cooper Flagg,Dallas Mavericks,Duke,2025,1,1,1,NCAA,YES,,San Diego,1,
,,,,,,,,,,,,,,,,Dylan Harper,San Antonio Spurs,Rutgers,2025,1,2,2,NCAA,YES,,Yale,1,
,,,,,,,,,,,,,,,,VJ Edgecombe,Philadelphia 76ers,Baylor,2025,1,3,3,NCAA,YES,,Missouri State,1,
,,,,,,,,,,,,,,,,Kon Knueppel,Charlotte Hornets,Duke,2025,1,4,4,NCAA,YES,,William & Mary,1,
,,,,,,,,,,,,,,,,Ace Bailey,Utah Jazz,Rutgers,2025,1,5,5,NCAA,YES,,North Texas,1,
,,,,,,,,,,,,,,,,Tre Johnson,Washington Wizards,Texas,2025,1,6,6,NCAA,YES,,South Dakota State,1,
,,,,,,,,,,,,,,,,Jeremiah Fears,New Orleans Pelicans,Oklahoma,2025,1,7,7,NCAA,YES,,St. Bonaventure,1,
,,,,,,,,,,,,,,,,Egor Dëmin,Brooklyn Nets,Brigham Young,2025,1,8,8,NCAA,YES,,Norfolk State,1,
,,,,,,,,,,,,,,,,Collin Murray-Boyles,Toronto Raptors,South Carolina,2025,1,9,9,NCAA,YES,,Cleveland State,1,
,,,,,,,,,,,,,,,,Khaman Maluach,Houston Rockets,Duke,2025,1,10,10,NCAA,YES,,Davidson,1,
,,,,,,,,,,,,,,,,Cedric Coward,Portland Trail Blazers,Washington State,2025,1,11,11,NCAA,YES,,St. Mary's (CA),1,
,,,,,,,,,,,,,,,,Derik Queen,Atlanta Hawks,Maryland,2025,1,13,13,NCAA,YES,,Rice,1,
,,,,,,,,,,,,,,,,Carter Bryant,San Antonio Spurs,Arizona,2025,1,14,14,NCAA,YES,,North Carolina Central,1,
,,,,,,,,,,,,,,,,Thomas Sorber,Oklahoma City Thunder,Georgetown,2025,1,15,15,NCAA,YES,,Manhattan,1,
,,,,,,,,,,,,,,,,Walter Clayton Jr.,Washington Wizards,Florida,2025,1,18,18,NCAA,YES,,Central Michigan,1,
,,,,,,,,,,,,,,,,Kasparas Jakučionis,Miami Heat,Illinois,2025,1,20,20,NCAA,YES,,North Dakota,1,
,,,,,,,,,,,,,,,,Will Riley,Utah Jazz,Illinois,2025,1,21,21,NCAA,YES,,Shaw,1,
,,,,,,,,,,,,,,,,Drake Powell,Atlanta Hawks,North Carolina,2025,1,22,22,NCAA,YES,,Arkansas State,1,
,,,,,,,,,,,,,,,,Asa Newell,New Orleans Pelicans,Georgia,2025,1,23,23,NCAA,YES,,Eastern Illinois,1,
,,,,,,,,,,,,,,,,Nique Clifford,Oklahoma City Thunder,Colorado State,2025,1,24,24,NCAA,YES,,Louisiana-Monroe,1,
,,,,,,,,,,,,,,,,Jase Richardson,Orlando Magic,Michigan State,2025,1,25,25,NCAA,YES,,Idaho,1,
,,,,,,,,,,,,,,,,Danny Wolf,Brooklyn Nets,Michigan,2025,1,27,27,NCAA,YES,,Northern Arizona,1,
,,,,,,,,,,,,,,,,Liam McNeeley,Phoenix Suns,Connecticut,2025,1,29,29,NCAA,YES,,Miami (OH),1,
,,,,,,,,,,,,,,,,Yanic Konan Niederhäuser,LA Clippers,Penn State,2025,1,30,30,NCAA,YES,,Texas State,1,
,,,,,,,,,,,,,,,,Rasheer Fleming,Minnesota Timberwolves,Saint Joseph's,2025,2,1,31,NCAA,,,Illinois State,1,
,,,,,,,,,,,,,,,,Sion James,Charlotte Hornets,Duke,2025,2,3,33,NCAA,,,Pacific,1,
,,,,,,,,,,,,,,,,Ryan Kalkbrenner,Charlotte Hornets,Creighton,2025,2,4,34,NCAA,,,Colgate,1,
,,,,,,,,,,,,,,,,Johni Broome,Philadelphia 76ers,Auburn,2025,2,5,35,NCAA,,,San Jose State,1,
,,,,,,,,,,,,,,,,Adou Thiero,Brooklyn Nets,Arkansas,2025,2,6,36,NCAA,,,Tennessee-Chattanooga,1,
,,,,,,,,,,,,,,,,Chaz Lanier,Detroit Pistons,Tennessee,2025,2,7,37,NCAA,,,West Virginia State,1,
,,,,,,,,,,,,,,,,Kam Jones,San Antonio Spurs,Marquette,2025,2,8,38,NCAA,,,Drexel,1,
,,,,,,,,,,,,,,,,Alijah Martin,Toronto Raptors,Florida,2025,2,9,39,NCAA,,,Pennsylvania,1,
,,,,,,,,,,,,,,,,Micah Peavy,Washington Wizards,Georgetown,2025,2,10,40,NCAA,,,Southern Illinois,1,
,,,,,,,,,,,,,,,,Koby Brea,Golden State Warriors,Kentucky,2025,2,11,41,NCAA,,,Tennessee State,1,
,,,,,,,,,,,,,,,,Maxime Raynaud,Sacramento Kings,Stanford,2025,2,12,42,NCAA,,,Duquesne,1,
,,,,,,,,,,,,,,,,Jamir Watkins,Washington Wizards,Florida State,2025,2,13,43,NCAA,,,Delaware,1,
,,,,,,,,,,,,,,,,Brooks Barnhizer,Oklahoma City Thunder,Northwestern,2025,2,14,44,NCAA,,,Southern Mississippi,1,
,,,,,,,,,,,,,,,,Amari Williams,Orlando Magic,Kentucky,2025,2,16,46,NCAA,,,Alabama State,1,
,,,,,,,,,,,,,,,,Javon Small,Memphis Grizzlies,West Virginia,2025,2,18,48,NCAA,,,North Carolina-Wilmington,1,
,,,,,,,,,,,,,,,,Tyrese Proctor,Cleveland Cavaliers,Duke,2025,2,19,49,NCAA,,,Saint Francis (PA),1,
,,,,,,,,,,,,,,,,Kobe Sanders,New York Knicks,Nevada-Reno,2025,2,20,50,NCAA,,,Iona,1,
,,,,,,,,,,,,,,,,John Tonje,Utah Jazz,Wisconsin,2025,2,23,53,NCAA,,,James Madison,1,
,,,,,,,,,,,,,,,,Taelon Peter,Indiana Pacers,Liberty,2025,2,24,54,NCAA,,,Loyola-Marymount,1,
,,,,,,,,,,,,,,,,Will Richard,Memphis Grizzlies,Florida,2025,2,26,56,NCAA,,,Dartmouth,1,
,,,,,,,,,,,,,,,,Max Shulga,Orlando Magic,Virginia Commonwealth,2025,2,27,57,NCAA,,,Virginia Union,1,
,,,,,,,,,,,,,,,,Jahmai Mashack,Houston Rockets,Tennessee,2025,2,29,59,NCAA,,,Elizabeth City State,1,
,,,,,,,,,,,,,,,,Reed Sheppard,Houston Rockets,Kentucky,2024,1,3,3,NCAA,YES,,Georgia Southern,1,
,,,,,,,,,,,,,,,,Stephon Castle,San Antonio Spurs,Connecticut,2024,1,4,4,NCAA,YES,,East Carolina,1,
,,,,,,,,,,,,,,,,Donovan Clingan,Portland Trail Blazers,Connecticut,2024,1,7,7,NCAA,YES,,McNeese State,1,
,,,,,,,,,,,,,,,,Rob Dillingham,San Antonio Spurs,Kentucky,2024,1,8,8,NCAA,YES,,Hawaii,1,
,,,,,,,,,,,,,,,,Zach Edey,Memphis Grizzlies,Purdue,2024,1,9,9,NCAA,YES,,Evansville,1,
,,,,,,,,,,,,,,,,Cody Williams,Utah Jazz,Colorado,2024,1,10,10,NCAA,YES,,Orangeville Prep,1,
,,,,,,,,,,,,,,,,Devin Carter,Sacramento Kings,Providence,2024,1,13,13,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Bub Carrington,Portland Trail Blazers,Pittsburgh,2024,1,14,14,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Kel'el Ware,Miami Heat,Indiana,2024,1,15,15,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Jared McCain,Philadelphia 76ers,Duke,2024,1,16,16,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Dalton Knecht,Los Angeles Lakers,Tennessee,2024,1,17,17,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Tristan da Silva,Orlando Magic,Colorado,2024,1,18,18,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Ja'Kobe Walter,Toronto Raptors,Baylor,2024,1,19,19,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Jaylon Tyson,Cleveland Cavaliers,California,2024,1,20,20,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Yves Missi,New Orleans Pelicans,Baylor,2024,1,21,21,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,DaRon Holmes II,Phoenix Suns,Dayton,2024,1,22,22,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Kyshawn George,New York Knicks,Miami (FL),2024,1,24,24,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Dillon Jones,Washington Wizards,Weber State,2024,1,26,26,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Terrence Shannon Jr.,Minnesota Timberwolves,Illinois,2024,1,27,27,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Ryan Dunn,Denver Nuggets,Virginia,2024,1,28,28,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Isaiah Collier,Utah Jazz,Southern California,2024,1,29,29,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Baylor Scheierman,Boston Celtics,Creighton,2024,1,30,30,NCAA,YES,,,0,
,,,,,,,,,,,,,,,,Kyle Filipowski,Utah Jazz,Duke,2024,2,2,32,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tyler Kolek,Portland Trail Blazers,Marquette,2024,2,4,34,NCAA,,,,0,
,,,,,,,,,,,,,,,,Johnny Furphy,San Antonio Spurs,Kansas,2024,2,5,35,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jaylen Wells,Memphis Grizzlies,Washington State,2024,2,9,39,NCAA,,,,0,
,,,,,,,,,,,,,,,,Oso Ighodaro,Portland Trail Blazers,Marquette,2024,2,10,40,NCAA,,,,0,
,,,,,,,,,,,,,,,,Adem Bona,Philadelphia 76ers,California-Los Angeles,2024,2,11,41,NCAA,,,,0,
,,,,,,,,,,,,,,,,KJ Simpson,Charlotte Hornets,Colorado,2024,2,12,42,NCAA,,,,0,
,,,,,,,,,,,,,,,,Pelle Larsson,Houston Rockets,Arizona,2024,2,14,44,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jamal Shead,Sacramento Kings,Houston,2024,2,15,45,NCAA,,,,0,
,,,,,,,,,,,,,,,,Cam Christie,LA Clippers,Minnesota,2024,2,16,46,NCAA,,,,0,
,,,,,,,,,,,,,,,,Antonio Reeves,Orlando Magic,Kentucky,2024,2,17,47,NCAA,,,,0,
,,,,,,,,,,,,,,,,Harrison Ingram,San Antonio Spurs,North Carolina,2024,2,18,48,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tristen Newton,Indiana Pacers,Connecticut,2024,2,19,49,NCAA,,,,0,
,,,,,,,,,,,,,,,,Quinten Post,Golden State Warriors,Boston College,2024,2,22,52,NCAA,,,,0,
,,,,,,,,,,,,,,,,Cam Spencer,Detroit Pistons,Connecticut,2024,2,23,53,NCAA,,,,0,
,,,,,,,,,,,,,,,,Anton Watson,Boston Celtics,Gonzaga,2024,2,24,54,NCAA,,,,0,
,,,,,,,,,,,,,,,,Bronny James,Los Angeles Lakers,Southern California,2024,2,25,55,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kevin McCullar Jr.,Phoenix Suns,Kansas,2024,2,26,56,NCAA,,,,0,
,,,,,,,,,,,,,,,,Brandon Miller,Charlotte Hornets,Alabama,2023,1,2,2,NCAA,,,,0,
,,,,,,,,,,,,,,,,Anthony Black,Orlando Magic,Arkansas,2023,1,6,6,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jarace Walker,Washington Wizards,Houston,2023,1,8,8,NCAA,,,,0,
,,,,,,,,,,,,,,,,Cason Wallace,Dallas Mavericks,Kentucky,2023,1,10,10,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jett Howard,Orlando Magic,Michigan,2023,1,11,11,NCAA,,,,0,
,,,,,,,,,,,,,,,,Dereck Lively II,Oklahoma City Thunder,Duke,2023,1,12,12,NCAA,,,,0,
,,,,,,,,,,,,,,,,Gradey Dick,Toronto Raptors,Kansas,2023,1,13,13,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jordan Hawkins,New Orleans Pelicans,Connecticut,2023,1,14,14,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kobe Bufkin,Atlanta Hawks,Michigan,2023,1,15,15,NCAA,,,,0,
,,,,,,,,,,,,,,,,Keyonte George,Utah Jazz,Baylor,2023,1,16,16,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jalen Hood-Schifino,Los Angeles Lakers,Indiana,2023,1,17,17,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jaime Jaquez Jr.,Miami Heat,California-Los Angeles,2023,1,18,18,NCAA,,,,0,
,,,,,,,,,,,,,,,,Cam Whitmore,Houston Rockets,Villanova,2023,1,20,20,NCAA,,,,0,
,,,,,,,,,,,,,,,,Noah Clowney,Brooklyn Nets,Alabama,2023,1,21,21,NCAA,,,,0,
,,,,,,,,,,,,,,,,Dariq Whitehead,Brooklyn Nets,Duke,2023,1,22,22,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kris Murray,Portland Trail Blazers,Iowa,2023,1,23,23,NCAA,,,,0,
,,,,,,,,,,,,,,,,Olivier-Maxence Prosper,Sacramento Kings,Marquette,2023,1,24,24,NCAA,,,,0,
,,,,,,,,,,,,,,,,Marcus Sasser,Memphis Grizzlies,Houston,2023,1,25,25,NCAA,,,,0,
,,,,,,,,,,,,,,,,Nick Smith Jr.,Charlotte Hornets,Arkansas,2023,1,27,27,NCAA,,,,0,
,,,,,,,,,,,,,,,,Brice Sensabaugh,Utah Jazz,Ohio State,2023,1,28,28,NCAA,,,,0,
,,,,,,,,,,,,,,,,Julian Strawther,Indiana Pacers,Gonzaga,2023,1,29,29,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kobe Brown,LA Clippers,Missouri,2023,1,30,30,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jalen Pickett,Indiana Pacers,Penn State,2023,2,2,32,NCAA,,,,0,
,,,,,,,,,,,,,,,,Colby Jones,Charlotte Hornets,Xavier,2023,2,4,34,NCAA,,,,0,
,,,,,,,,,,,,,,,,Julian Phillips,Boston Celtics,Tennessee,2023,2,5,35,NCAA,,,,0,
,,,,,,,,,,,,,,,,Andre Jackson Jr.,Orlando Magic,Connecticut,2023,2,6,36,NCAA,,,,0,
,,,,,,,,,,,,,,,,Hunter Tyson,Oklahoma City Thunder,Clemson,2023,2,7,37,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jordan Walsh,Sacramento Kings,Arkansas,2023,2,8,38,NCAA,,,,0,
,,,,,,,,,,,,,,,,Mouhamed Gueye,Charlotte Hornets,Washington State,2023,2,9,39,NCAA,,,,0,
,,,,,,,,,,,,,,,,Maxwell Lewis,Denver Nuggets,Pepperdine,2023,2,10,40,NCAA,,,,0,
,,,,,,,,,,,,,,,,Amari Bailey,Charlotte Hornets,California-Los Angeles,2023,2,11,41,NCAA,,,,0,
,,,,,,,,,,,,,,,,GG Jackson,Memphis Grizzlies,South Carolina,2023,2,15,45,NCAA,,,,0,
,,,,,,,,,,,,,,,,Seth Lundy,Atlanta Hawks,Penn State,2023,2,16,46,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jordan Miller,LA Clippers,Miami (FL),2023,2,18,48,NCAA,,,,0,
,,,,,,,,,,,,,,,,Keyontae Johnson,Oklahoma City Thunder,Kansas State,2023,2,20,50,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jalen Wilson,Brooklyn Nets,Kansas,2023,2,21,51,NCAA,,,,0,
,,,,,,,,,,,,,,,,Toumani Camara,Phoenix Suns,Dayton,2023,2,22,52,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jaylen Clark,Minnesota Timberwolves,California-Los Angeles,2023,2,23,53,NCAA,,,,0,
,,,,,,,,,,,,,,,,Isaiah Wong,Indiana Pacers,Miami (FL),2023,2,25,55,NCAA,,,,0,
,,,,,,,,,,,,,,,,Trayce Jackson-Davis,Washington Wizards,Indiana,2023,2,27,57,NCAA,,,,0,
,,,,,,,,,,,,,,,,Chris Livingston,Milwaukee Bucks,Kentucky,2023,2,28,58,NCAA,,,,0,
,,,,,,,,,,,,,,,,Paolo Banchero,Orlando Magic,Duke,2022,1,1,1,NCAA,,,,0,
,,,,,,,,,,,,,,,,Chet Holmgren,Oklahoma City Thunder,Gonzaga,2022,1,2,2,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jabari Smith Jr.,Houston Rockets,Auburn,2022,1,3,3,NCAA,,,,0,
,,,,,,,,,,,,,,,,Keegan Murray,Sacramento Kings,Iowa,2022,1,4,4,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jaden Ivey,Detroit Pistons,Purdue,2022,1,5,5,NCAA,,,,0,
,,,,,,,,,,,,,,,,Bennedict Mathurin,Indiana Pacers,Arizona,2022,1,6,6,NCAA,,,,0,
,,,,,,,,,,,,,,,,Shaedon Sharpe,Portland Trail Blazers,Kentucky,2022,1,7,7,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jeremy Sochan,San Antonio Spurs,Baylor,2022,1,9,9,NCAA,,,,0,
,,,,,,,,,,,,,,,,Johnny Davis,Washington Wizards,Wisconsin,2022,1,10,10,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jalen Duren,Charlotte Hornets,Memphis,2022,1,13,13,NCAA,,,,0,
,,,,,,,,,,,,,,,,Ochai Agbaji,Cleveland Cavaliers,Kansas,2022,1,14,14,NCAA,,,,0,
,,,,,,,,,,,,,,,,Mark Williams,Charlotte Hornets,Duke,2022,1,15,15,NCAA,,,,0,
,,,,,,,,,,,,,,,,AJ Griffin,Atlanta Hawks,Duke,2022,1,16,16,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tari Eason,Houston Rockets,Louisiana State,2022,1,17,17,NCAA,,,,0,
,,,,,,,,,,,,,,,,Dalen Terry,Chicago Bulls,Arizona State,2022,1,18,18,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jake LaRavia,Minnesota Timberwolves,Wake Forest,2022,1,19,19,NCAA,,,,0,
,,,,,,,,,,,,,,,,Malaki Branham,San Antonio Spurs,Ohio State,2022,1,20,20,NCAA,,,,0,
,,,,,,,,,,,,,,,,Christian Braun,Denver Nuggets,Kansas,2022,1,21,21,NCAA,,,,0,
,,,,,,,,,,,,,,,,Walker Kessler,Memphis Grizzlies,Auburn,2022,1,22,22,NCAA,,,,0,
,,,,,,,,,,,,,,,,David Roddy,Philadelphia 76ers,Colorado State,2022,1,23,23,NCAA,,,,0,
,,,,,,,,,,,,,,,,Blake Wesley,San Antonio Spurs,Notre Dame,2022,1,25,25,NCAA,,,,0,
,,,,,,,,,,,,,,,,Wendell Moore Jr.,Dallas Mavericks,Duke,2022,1,26,26,NCAA,,,,0,
,,,,,,,,,,,,,,,,TyTy Washington Jr.,Memphis Grizzlies,Kentucky,2022,1,29,29,NCAA,,,,0,
,,,,,,,,,,,,,,,,Peyton Watson,Oklahoma City Thunder,California-Los Angeles,2022,1,30,30,NCAA,,,,0,
,,,,,,,,,,,,,,,,Andrew Nembhard,Indiana Pacers,Gonzaga,2022,2,1,31,NCAA,,,,0,
,,,,,,,,,,,,,,,,Caleb Houstan,Orlando Magic,Michigan,2022,2,2,32,NCAA,,,,0,
,,,,,,,,,,,,,,,,Christian Koloko,Toronto Raptors,Arizona,2022,2,3,33,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jaylin Williams,Oklahoma City Thunder,Arkansas,2022,2,4,34,NCAA,,,,0,
,,,,,,,,,,,,,,,,Max Christie,Los Angeles Lakers,Michigan State,2022,2,5,35,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kennedy Chandler,San Antonio Spurs,Tennessee,2022,2,8,38,NCAA,,,,0,
,,,,,,,,,,,,,,,,Bryce McGowens,Minnesota Timberwolves,Nebraska,2022,2,10,40,NCAA,,,,0,
,,,,,,,,,,,,,,,,E.J. Liddell,New Orleans Pelicans,Ohio State,2022,2,11,41,NCAA,,,,0,
,,,,,,,,,,,,,,,,Trevor Keels,New York Knicks,Duke,2022,2,12,42,NCAA,,,,0,
,,,,,,,,,,,,,,,,Moussa Diabaté,LA Clippers,Michigan,2022,2,13,43,NCAA,,,,0,
,,,,,,,,,,,,,,,,Josh Minott,Charlotte Hornets,Memphis,2022,2,15,45,NCAA,,,,0,
,,,,,,,,,,,,,,,,Vince Williams Jr.,Memphis Grizzlies,Virginia Commonwealth,2022,2,17,47,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kendall Brown,Minnesota Timberwolves,Baylor,2022,2,18,48,NCAA,,,,0,
,,,,,,,,,,,,,,,,Isaiah Mobley,Cleveland Cavaliers,Southern California,2022,2,19,49,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tyrese Martin,Golden State Warriors,Connecticut,2022,2,21,51,NCAA,,,,0,
,,,,,,,,,,,,,,,,JD Davison,Boston Celtics,Alabama,2022,2,23,53,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jabari Walker,Portland Trail Blazers,Colorado,2022,2,27,57,NCAA,,,,0,
,,,,,,,,,,,,,,,,Cade Cunningham,Detroit Pistons,Oklahoma State,2021,1,1,1,NCAA,,,,0,
,,,,,,,,,,,,,,,,Evan Mobley,Cleveland Cavaliers,Southern California,2021,1,3,3,NCAA,,,,0,
,,,,,,,,,,,,,,,,Scottie Barnes,Toronto Raptors,Florida State,2021,1,4,4,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jalen Suggs,Orlando Magic,Gonzaga,2021,1,5,5,NCAA,,,,0,
,,,,,,,,,,,,,,,,Franz Wagner,Orlando Magic,Michigan,2021,1,8,8,NCAA,,,,0,
,,,,,,,,,,,,,,,,Davion Mitchell,Sacramento Kings,Baylor,2021,1,9,9,NCAA,,,,0,
,,,,,,,,,,,,,,,,Ziaire Williams,New Orleans Pelicans,Stanford,2021,1,10,10,NCAA,,,,0,
,,,,,,,,,,,,,,,,James Bouknight,Charlotte Hornets,Connecticut,2021,1,11,11,NCAA,,,,0,
,,,,,,,,,,,,,,,,Joshua Primo,San Antonio Spurs,Alabama,2021,1,12,12,NCAA,,,,0,
,,,,,,,,,,,,,,,,Chris Duarte,Indiana Pacers,Oregon,2021,1,13,13,NCAA,,,,0,
,,,,,,,,,,,,,,,,Moses Moody,Golden State Warriors,Arkansas,2021,1,14,14,NCAA,,,,0,
,,,,,,,,,,,,,,,,Corey Kispert,Washington Wizards,Gonzaga,2021,1,15,15,NCAA,,,,0,
,,,,,,,,,,,,,,,,Trey Murphy III,Memphis Grizzlies,Virginia,2021,1,17,17,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tre Mann,Oklahoma City Thunder,Florida,2021,1,18,18,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kai Jones,New York Knicks,Texas,2021,1,19,19,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jalen Johnson,Atlanta Hawks,Duke,2021,1,20,20,NCAA,,,,0,
,,,,,,,,,,,,,,,,Keon Johnson,New York Knicks,Tennessee,2021,1,21,21,NCAA,,,,0,
,,,,,,,,,,,,,,,,Isaiah Jackson,Los Angeles Lakers,Kentucky,2021,1,22,22,NCAA,,,,0,
,,,,,,,,,,,,,,,,Josh Christopher,Houston Rockets,Arizona State,2021,1,24,24,NCAA,,,,0,
,,,,,,,,,,,,,,,,Quentin Grimes,LA Clippers,Houston,2021,1,25,25,NCAA,,,,0,
,,,,,,,,,,,,,,,,Bones Hyland,Denver Nuggets,Virginia Commonwealth,2021,1,26,26,NCAA,,,,0,
,,,,,,,,,,,,,,,,Cam Thomas,Brooklyn Nets,Louisiana State,2021,1,27,27,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jaden Springer,Philadelphia 76ers,Tennessee,2021,1,28,28,NCAA,,,,0,
,,,,,,,,,,,,,,,,Day'Ron Sharpe,Phoenix Suns,North Carolina,2021,1,29,29,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jeremiah Robinson-Earl,New York Knicks,Villanova,2021,2,2,32,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jason Preston,Orlando Magic,Ohio,2021,2,3,33,NCAA,,,,0,
,,,,,,,,,,,,,,,,Herbert Jones,New Orleans Pelicans,Alabama,2021,2,5,35,NCAA,,,,0,
,,,,,,,,,,,,,,,,Miles McBride,Oklahoma City Thunder,West Virginia,2021,2,6,36,NCAA,,,,0,
,,,,,,,,,,,,,,,,JT Thor,Detroit Pistons,Auburn,2021,2,7,37,NCAA,,,,0,
,,,,,,,,,,,,,,,,Ayo Dosunmu,Chicago Bulls,Illinois,2021,2,8,38,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jared Butler,Sacramento Kings,Baylor,2021,2,10,40,NCAA,,,,0,
,,,,,,,,,,,,,,,,Joe Wieskamp,San Antonio Spurs,Iowa,2021,2,11,41,NCAA,,,,0,
,,,,,,,,,,,,,,,,Isaiah Livers,Detroit Pistons,Michigan,2021,2,12,42,NCAA,,,,0,
,,,,,,,,,,,,,,,,Greg Brown III,New Orleans Pelicans,Texas,2021,2,13,43,NCAA,,,,0,
,,,,,,,,,,,,,,,,Kessler Edwards,Brooklyn Nets,Pepperdine,2021,2,14,44,NCAA,,,,0,
,,,,,,,,,,,,,,,,Dalano Banton,Toronto Raptors,Nebraska,2021,2,16,46,NCAA,,,,0,
,,,,,,,,,,,,,,,,David Johnson,Toronto Raptors,Louisville,2021,2,17,47,NCAA,,,,0,
,,,,,,,,,,,,,,,,Sharife Cooper,Atlanta Hawks,Auburn,2021,2,18,48,NCAA,,,,0,
,,,,,,,,,,,,,,,,Marcus Zegarowski,Brooklyn Nets,Creighton,2021,2,19,49,NCAA,,,,0,
,,,,,,,,,,,,,,,,Brandon Boston,Memphis Grizzlies,Kentucky,2021,2,21,51,NCAA,,,,0,
,,,,,,,,,,,,,,,,Luka Garza,Detroit Pistons,Iowa,2021,2,22,52,NCAA,,,,0,
,,,,,,,,,,,,,,,,Charles Bassey,Philadelphia 76ers,Western Kentucky,2021,2,23,53,NCAA,,,,0,
,,,,,,,,,,,,,,,,Sandro Mamukelashvili,Indiana Pacers,Seton Hall,2021,2,24,54,NCAA,,,,0,
,,,,,,,,,,,,,,,,Aaron Wiggins,Oklahoma City Thunder,Maryland,2021,2,25,55,NCAA,,,,0,
,,,,,,,,,,,,,,,,Scottie Lewis,Charlotte Hornets,Florida,2021,2,26,56,NCAA,,,,0,
,,,,,,,,,,,,,,,,Balsa Koprivica,Charlotte Hornets,Florida State,2021,2,27,57,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jericho Sims,New York Knicks,Texas,2021,2,28,58,NCAA,,,,0,
,,,,,,,,,,,,,,,,RaiQuan Gray,Brooklyn Nets,Florida State,2021,2,29,59,NCAA,,,,0,
,,,,,,,,,,,,,,,,Anthony Edwards,Minnesota Timberwolves,Georgia,2020,1,1,1,NCAA,,,,0,
,,,,,,,,,,,,,,,,James Wiseman,Golden State Warriors,Memphis,2020,1,2,2,NCAA,,,,0,
,,,,,,,,,,,,,,,,Patrick Williams,Chicago Bulls,Florida State,2020,1,4,4,NCAA,,,,0,
,,,,,,,,,,,,,,,,Isaac Okoro,Cleveland Cavaliers,Auburn,2020,1,5,5,NCAA,,,,0,
,,,,,,,,,,,,,,,,Onyeka Okongwu,Atlanta Hawks,Southern California,2020,1,6,6,NCAA,,,,0,
,,,,,,,,,,,,,,,,Obi Toppin,New York Knicks,Dayton,2020,1,8,8,NCAA,,,,0,
,,,,,,,,,,,,,,,,Jalen Smith,Phoenix Suns,Maryland,2020,1,10,10,NCAA,,,,0,
,,,,,,,,,,,,,,,,Devin Vassell,San Antonio Spurs,Florida State,2020,1,11,11,NCAA,,,,0,
,,,,,,,,,,,,,,,,Tyrese Haliburton,Sacramento Kings,Iowa State,2020,1,12,12,NCAA,,,,0,
