Isaac Austin,,,,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Anthony Carter,,,,,,,77,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Andre Iguodala,,,,,,,,,,,,,,,,,,,,,79,94,94,94,94,94
Clarence Weatherspoon,,,,,,29,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
Bimbo Coles,23,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92
Rafer Alston,,,,,,,,,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91
Nikola Jovic,,,,,,,,,,,,,,,,,,,,,,,,2,49,87
Grant Long,37,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
Dewayne Dedmon,,,,,,,,,,,,,,,,,,,,,,25,78,78,78,78
Rasual Butler,,,,,,,,,21,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
Brian Shaw,36,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Mike Bibby,,,,,,,,,,,,,,,73,73,73,73,73,73,73,73,73,73,73,73
James Johnson,,,,,,,,,,,,,,,,,,,,62,62,62,62,62,62,62
Keith Askins,13,13,26,56,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
Tyler Johnson,,,,,,,,,,,,,,,,,,,21,61,61,61,61,61,61,61
Davion Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,60
John Salley,,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Jaime Jaquez,,,,,,,,,,,,,,,,,,,,,,,,,51,55
Malik Allen,,,,,,,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Eddie House,,,,,,,,38,38,38,38,38,38,38,49,49,49,49,49,49,49,49,49,49,49,49
Quentin Richardson,,,,,,,,,,,,,,49,49,49,49,49,49,49,49,49,49,49,49,49
Bruce Bowen,,,,,,,35,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
Eric Murdock,,,,,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
Cody Zeller,,,,,,,,,,,,,,,,,,,,,,,,46,46,46
Andrew Wiggins,,,,,,,,,,,,,,,,,,,,,,,,,,46
Terry Porter,,,,,,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Dorell Wright,,,,,,,,,,,,0,0,25,25,25,25,25,41,41,41,41,41,41,41,41
Gerald Green,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40
Wayne Ellington,,,,,,,,,,,,,,,,,,,,39,39,39,39,39,39,39
Josh McRoberts,,,,,,,,,,,,,,,,,,,38,38,38,38,38,38,38,38
John Crotty,,,,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
Daequan Cook,,,,,,,,,,,,,37,37,37,37,37,37,37,37,37,37,37,37,37,37
Otis Thorpe,,,,,,,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
Willie Anderson,,,,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
Harold Miner,,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Delon Wright,,,,,,,,,,,,,,,,,,,,,,,,,32,32
Zydrunas Ilgauskas,,,,,,,,,,,,,,,32,32,32,32,32,32,32,32,32,32,32,32
