Player,Season_1,Season_2,Season_3,Season_4,Season_5,Season_6,Season_7,Season_8,Season_9,Season_10,Season_11,Season_12,Season_13,Season_14,Season_15,Season_16,Season_17,Season_18,Season_19,Season_20,Season_21,Season_22,Season_23,Season_24,Season_25
Joakim Noah,0,71,145,284,329,458,510,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579,579
Jack Nichols,158,276,276,276,276,376,449,490,525,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578,578
Dan Roundfield,0,0,158,244,244,286,339,425,507,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577
Chuck Person,108,108,108,148,278,329,329,329,404,525,525,577,577,577,577,577,577,577,577,577,577,577,577,577,577
Cedric Ceballos,16,124,220,321,463,539,572,572,572,572,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577
Luc Longley,0,0,63,119,269,393,535,539,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577,577
Mehmet Okur,94,176,176,176,376,561,569,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576
Ja Morant,0,151,395,518,518,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573,573
Don Chaney,5,5,5,102,192,363,482,482,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570
Gene Shue,22,22,54,184,267,315,408,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569,569
DeMarre Carroll,0,0,19,19,81,314,491,533,533,566,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568
Wayne Embry,0,0,0,56,257,391,442,481,507,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566
Henry Bibby,20,62,62,62,273,359,431,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566,566
Drew Gooden,98,98,98,205,433,433,462,462,462,462,462,496,564,564,564,564,564,564,564,564,564,564,564,564,564
Isaiah Thomas,0,0,0,70,215,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564,564
Carl Braun,30,146,231,231,231,379,450,504,504,504,504,536,536,536,561,561,561,561,561,561,561,561,561,561,561
Bobby Portis,0,40,40,40,40,216,343,391,490,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560
Darrell Griffith,0,0,0,211,386,386,454,454,500,547,557,557,557,557,557,557,557,557,557,557,557,557,557,557,557
Jason Williams,50,102,172,172,172,215,283,497,520,520,520,557,557,557,557,557,557,557,557,557,557,557,557,557,557
Bob Boozer,0,73,232,232,232,299,358,452,452,452,556,556,556,556,556,556,556,556,556,556,556,556,556,556,556
Yao Ming,0,75,225,225,401,401,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555,555
Bobby Wanzer,38,65,240,353,404,500,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554
Jim Paxson,16,16,16,179,293,409,451,485,535,535,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554
Marcin Gortat,10,88,130,130,130,130,273,397,397,502,554,554,554,554,554,554,554,554,554,554,554,554,554,554,554
Steve Kerr,0,8,8,52,52,87,138,260,355,458,482,482,512,531,553,553,553,553,553,553,553,553,553,553,553
Taj Gibson,38,133,190,268,359,448,448,497,528,528,528,553,553,553,553,553,553,553,553,553,553,553,553,553,553
Doug Christie,9,9,9,9,9,9,9,21,100,277,386,552,552,552,552,552,552,552,552,552,552,552,552,552,552
Wally Szczerbiak,24,80,140,227,369,369,369,369,509,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552,552
Marco Belinelli,0,0,0,58,58,191,316,381,381,381,510,551,551,551,551,551,551,551,551,551,551,551,551,551,551
Steven Adams,70,70,252,292,355,414,485,485,509,509,509,549,549,549,549,549,549,549,549,549,549,549,549,549,549
James Jones,0,52,138,193,193,260,262,340,391,400,453,540,546,548,548,548,548,548,548,548,548,548,548,548,548
Otis Birdsong,0,105,171,295,295,308,475,475,544,544,544,546,546,546,546,546,546,546,546,546,546,546,546,546,546
Lucious Jackson,113,173,338,486,486,506,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545
Raja Bell,34,36,133,133,133,365,477,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545,545
Keith Van Horn,38,38,38,38,304,429,469,491,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542,542
Thaddeus Young,61,133,133,190,290,290,290,353,353,401,480,522,522,522,542,542,542,542,542,542,542,542,542,542,542
Danny Schayes,0,57,85,121,237,267,447,455,455,483,483,483,483,512,519,541,541,541,541,541,541,541,541,541,541
Andrew Nembhard,0,253,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
Glenn Robinson,0,0,0,0,62,139,489,489,489,489,539,539,539,539,539,539,539,539,539,539,539,539,539,539,539
Kurt Thomas,12,12,12,118,187,259,259,259,310,310,311,394,463,476,514,534,534,534,534,534,534,534,534,534,534
Damon Stoudamire,0,0,71,203,345,398,413,520,520,520,520,520,533,533,533,533,533,533,533,533,533,533,533,533,533
Bobby Jackson,0,4,19,75,250,422,422,448,481,481,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533
Kevin Loughery,3,3,143,152,152,152,233,300,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532,532
Eric Bledsoe,0,87,126,126,126,126,126,221,426,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531,531
Norm Van Lier,0,0,56,157,318,514,514,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530
Gilbert Arenas,0,0,0,236,440,440,483,483,483,526,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530
Bill Walton,0,0,345,372,372,372,372,372,372,372,372,499,528,528,528,528,528,528,528,528,528,528,528,528,528
Mike Evans,11,36,36,122,145,300,392,410,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526
Delonte West,29,29,29,170,363,437,496,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526,526
Mitch Kupchak,146,359,411,411,411,411,411,429,504,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524,524
Grant Hill,0,57,175,175,272,294,294,294,294,294,294,294,354,365,365,519,519,519,523,523,523,523,523,523,523
Tyson Chandler,0,0,0,70,81,81,177,192,206,373,404,472,472,523,523,523,523,523,523,523,523,523,523,523,523
Dick McGuire,63,137,282,365,376,396,396,396,463,510,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521
Mark Olberding,13,76,187,216,354,486,486,506,506,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521
Monta Ellis,0,88,88,88,88,88,88,145,288,418,499,521,521,521,521,521,521,521,521,521,521,521,521,521,521
Lindsey Hunter,0,0,6,81,81,117,142,206,242,242,298,394,470,493,514,520,520,520,520,520,520,520,520,520,520
Dennis Scott,0,0,0,43,351,487,502,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519
Bonzi Wells,0,105,105,142,275,322,336,475,475,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519,519
Malcolm Brogdon,54,115,206,292,292,292,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518,518
Pat Connaughton,8,15,31,124,164,322,436,484,511,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517,517
Chris Childs,0,0,104,167,261,348,457,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516,516
Phil Jackson,24,24,24,33,189,337,472,499,499,499,511,515,515,515,515,515,515,515,515,515,515,515,515,515,515
Billy Paultz,34,103,185,215,469,476,506,508,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515,515
Brent Barry,0,35,35,35,77,77,116,116,116,257,358,417,500,513,513,513,513,513,513,513,513,513,513,513,513
Rudy Tomjanovich,0,0,0,0,184,184,427,427,447,505,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511
James Posey,0,0,0,0,50,89,249,280,454,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511
Josh Hart,0,0,0,0,0,114,303,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511,511
Ivica Zubac,0,0,20,138,245,245,291,388,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510
Obi Toppin,32,32,109,294,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510,510
Guy Rodgers,0,118,171,310,310,457,457,457,491,491,491,508,508,508,508,508,508,508,508,508,508,508,508,508,508
Jordan Poole,0,0,373,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507,507
Bob Davies,48,63,285,404,430,481,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506
Lucius Allen,0,102,299,393,393,393,393,470,470,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506
Malik Rose,4,14,60,81,145,274,496,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506
Donte DiVincenzo,0,66,74,74,145,376,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506
Rafer Alston,0,0,0,0,91,91,91,167,224,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505
Mickael Pietrus,0,0,0,66,66,318,436,436,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505
Jordan Clarkson,0,0,0,90,90,207,400,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505
Chet Holmgren,156,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505,505
Elton Brand,0,0,0,0,0,0,305,305,305,305,305,383,495,495,503,504,504,504,504,504,504,504,504,504,504
TJ McConnell,0,0,55,79,86,86,86,86,286,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504,504
Charlie Scott,0,0,0,0,277,425,455,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503
Rodney McCray,0,53,312,469,501,501,501,501,501,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503,503
John Lucas,176,176,176,176,176,207,207,207,275,275,462,491,502,502,502,502,502,502,502,502,502,502,502,502,502
Larry Kenon,34,140,435,461,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501,501
Curtis Perry,0,104,157,256,256,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498,498
Brandon Bass,0,0,58,152,171,215,436,476,476,496,496,498,498,498,498,498,498,498,498,498,498,498,498,498,498
Aaron Nesmith,16,28,28,206,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497,497
Clifford Ray,61,67,174,278,396,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496
Mark West,12,20,20,20,20,94,271,294,326,440,457,457,485,485,488,496,496,496,496,496,496,496,496,496,496
Corliss Williamson,1,1,1,54,87,87,220,337,463,489,496,496,496,496,496,496,496,496,496,496,496,496,496,496,496
George McGinnis,69,338,485,485,485,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495
Terry Teagle,0,0,0,0,144,144,302,302,421,491,495,495,495,495,495,495,495,495,495,495,495,495,495,495,495
Artis Gilmore,56,56,56,56,164,164,348,348,437,477,477,492,492,492,492,492,492,492,492,492,492,492,492,492,492
Tyrone Hill,22,28,28,70,104,129,129,129,174,297,463,463,491,491,491,491,491,491,491,491,491,491,491,491,491
Terry Rozier,24,120,433,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491,491
Jay Vincent,0,0,152,214,320,350,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490
Nate McMillan,71,104,158,158,172,258,349,370,389,473,473,489,489,489,489,489,489,489,489,489,489,489,489,489,489
Pete Maravich,110,276,433,433,433,433,433,433,433,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487
Randy Wittman,40,40,200,348,485,485,485,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487,487
Scott Williams,23,111,215,278,278,278,278,278,278,329,463,463,487,487,487,487,487,487,487,487,487,487,487,487,487
Mike McGee,12,24,235,425,441,468,468,468,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486
Rickey Green,0,0,0,0,0,0,161,311,364,391,395,424,426,485,485,485,485,485,485,485,485,485,485,485,485
Anthony Johnson,0,24,24,24,74,116,189,280,400,400,400,482,484,484,484,484,484,484,484,484,484,484,484,484,484
Joe Ingles,0,0,71,231,263,327,439,439,473,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484
Willie Anderson,0,205,281,281,376,409,429,450,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483,483
Greg Ballard,74,211,233,233,326,326,392,422,422,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481,481
Andrei Kirilenko,35,93,93,93,93,257,389,444,455,455,455,455,480,480,480,480,480,480,480,480,480,480,480,480,480
Dave Bing,0,169,169,169,169,169,169,301,349,445,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477
World B. Free,32,211,372,372,372,372,372,372,372,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477
Ben Simmons,163,330,330,473,473,473,473,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477,477
Nat Clifton,100,232,364,389,448,448,448,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476
Seth Curry,0,0,0,0,0,90,167,393,451,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476
Avery Bradley,0,67,107,107,156,174,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475
Monte Morris,0,75,247,384,454,454,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475,475
Red Rocha,80,116,116,116,235,266,266,402,470,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474,474
Brian Grant,0,39,39,92,263,350,380,380,380,472,472,474,474,474,474,474,474,474,474,474,474,474,474,474,474
Brad Miller,0,30,30,86,138,264,320,375,375,375,447,474,474,474,474,474,474,474,474,474,474,474,474,474,474
Jack McMahon,26,94,146,189,313,399,469,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473,473
Vinny Del Negro,0,0,0,0,40,69,200,343,343,439,439,465,473,473,473,473,473,473,473,473,473,473,473,473,473
Jim Jackson,0,0,0,0,0,0,95,95,95,95,230,304,469,473,473,473,473,473,473,473,473,473,473,473,473
Christian Laettner,0,0,0,157,333,372,423,443,443,443,443,443,472,472,472,472,472,472,472,472,472,472,472,472,472
Kevon Looney,0,0,86,235,235,235,362,446,446,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472,472
Jaden McDaniels,0,56,56,251,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471,471
Mike Dunleavy Sr,22,22,22,39,216,239,300,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469,469
Sleepy Floyd,0,0,0,0,214,289,351,425,441,441,461,467,467,467,467,467,467,467,467,467,467,467,467,467,467
Iman Shumpert,0,112,112,293,363,437,437,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466
Victor Oladipo,0,0,0,54,213,213,284,284,443,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466,466
Johnny Moore,42,136,383,383,449,449,449,449,449,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465,465
Mike Miller,48,67,67,97,145,179,179,179,179,179,226,346,404,455,464,464,464,464,464,464,464,464,464,464,464
Leroy Ellis,81,108,266,403,403,403,422,424,424,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463,463
Marvin Webster,30,385,385,385,397,397,425,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462,462
Stacey Augmon,0,36,155,176,279,286,291,326,335,345,393,410,462,462,462,462,462,462,462,462,462,462,462,462,462
Howard Eisley,0,53,165,277,358,409,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461,461
Evan Turner,40,185,185,224,266,345,386,414,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457
Austin Rivers,0,0,117,179,203,203,277,334,426,447,457,457,457,457,457,457,457,457,457,457,457,457,457,457,457
Tim Hardaway Jr,0,0,20,97,97,97,204,323,323,323,384,456,456,456,456,456,456,456,456,456,456,456,456,456,456
Greg Anthony,63,122,244,291,291,291,323,390,450,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455
Cory Joseph,0,59,107,118,288,367,400,430,430,430,430,430,430,455,455,455,455,455,455,455,455,455,455,455,455
Desmond Bane,28,253,394,394,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455,455
Mark Eaton,0,50,79,137,191,276,301,320,359,432,454,454,454,454,454,454,454,454,454,454,454,454,454,454,454
Austin Croshere,0,2,218,261,285,301,364,389,438,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453
D'Angelo Russell,0,0,0,97,97,97,169,382,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453,453
Gus Johnson,0,158,160,160,160,160,289,432,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452
Al-Farouq Aminu,0,0,0,0,56,217,265,334,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452,452
Courtney Lee,169,169,169,169,175,245,391,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451,451
Enes Kanter,14,14,14,14,184,208,208,390,440,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450
Mitch Richmond,161,161,362,362,362,362,362,446,446,446,446,446,446,449,449,449,449,449,449,449,449,449,449,449,449
Gabe Vincent,0,5,149,428,435,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449,449
Al Bianchi,32,43,125,125,167,238,272,299,403,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
Chris Morris,0,0,0,75,160,197,197,309,366,443,448,448,448,448,448,448,448,448,448,448,448,448,448,448,448
Walter Dukes,0,68,179,222,270,320,444,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447,447
Fred Carter,99,362,362,362,362,362,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446,446
Johnny Davis (1955),168,254,254,254,294,294,345,395,423,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445,445
Fast Eddie Johnson,31,179,276,276,298,298,352,352,352,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442
Travis Best,29,29,126,172,376,415,415,415,415,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442,442
Spencer Haywood,0,0,0,0,141,141,141,238,238,301,301,441,441,441,441,441,441,441,441,441,441,441,441,441,441
Raymond Felton,0,0,0,0,47,105,105,274,274,285,360,399,430,441,441,441,441,441,441,441,441,441,441,441,441
Bill Hanzlik,0,52,106,134,254,298,323,381,419,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440
Anderson Varejao,0,88,207,260,357,420,420,420,420,420,420,440,440,440,440,440,440,440,440,440,440,440,440,440,440
Dillon Brooks,0,0,0,129,290,353,353,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439,439
Vince Boryla,75,292,292,409,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436,436
Ray Williams,105,105,105,148,182,182,305,425,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435
Bogdan Bogdanovic,0,0,0,253,310,390,390,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435
Austin Reaves,0,270,354,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435
Chris Ford,0,20,32,110,151,151,151,233,387,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434
Wayne Cooper,0,0,0,0,87,111,275,338,350,368,380,428,430,434,434,434,434,434,434,434,434,434,434,434,434
Gordon Hayward,0,29,29,29,29,29,294,294,380,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434,434
Tom Gola,123,123,233,233,346,375,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432,432
Ty Lawson,47,125,258,386,386,386,402,402,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431,431
Dave Corzine,8,18,81,203,203,203,236,272,299,360,425,425,430,430,430,430,430,430,430,430,430,430,430,430,430
Andy Phillip,36,75,99,114,149,231,266,360,389,411,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428
Ernie Vandeweghe,32,133,284,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428
George King (1928),57,79,167,294,410,410,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428
Orlando Woolridge,0,0,0,82,145,145,145,267,373,373,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428
Devean George,22,36,131,219,340,340,377,398,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427,427
Thabo Sefolosha,30,30,30,57,136,242,305,361,361,420,421,421,426,426,426,426,426,426,426,426,426,426,426,426,426
Mike Sanders,14,74,126,126,126,190,223,234,249,379,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425
Jaren Jackson Jr,0,0,68,253,361,361,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425
Caleb Martin,0,0,76,367,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425,425
Johnny Egan,68,68,68,68,116,116,116,367,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423,423
Johnny Newman,0,76,221,338,338,338,406,418,418,418,418,418,418,418,418,421,421,421,421,421,421,421,421,421,421
Randy Smith,0,0,85,211,414,414,414,414,414,414,414,420,420,420,420,420,420,420,420,420,420,420,420,420,420
Matt Harpring,33,33,33,84,158,158,158,158,316,395,419,419,419,419,419,419,419,419,419,419,419,419,419,419,419
Clint Richardson,2,51,162,250,287,402,402,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418,418
JaVale McGee,0,0,0,60,103,103,103,107,202,286,286,327,335,416,416,416,416,416,416,416,416,416,416,416,416
Payton Pritchard,17,131,163,285,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416,416
Bob Hansen,7,16,80,141,310,343,393,393,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
Otto Porter,2,102,102,260,310,310,310,310,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412,412
Spencer Dinwiddie,0,2,2,2,75,75,75,330,396,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411,411
David Benoit,89,126,241,300,387,387,387,387,387,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410,410
Fred Scolari,71,71,153,190,278,278,385,397,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409
Luis Scola,84,271,271,271,271,271,381,381,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409
Tiago Splitter,20,96,212,385,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409
Alex Caruso,0,0,137,172,197,197,197,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409,409
Bob Weiss,0,4,4,4,62,172,227,311,363,393,401,407,407,407,407,407,407,407,407,407,407,407,407,407,407
Fred Roberts,0,54,76,167,196,328,367,401,401,401,401,407,407,407,407,407,407,407,407,407,407,407,407,407,407
Roy Tarpley,53,357,357,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407,407
Tony Delk,31,31,31,87,134,200,358,358,358,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406,406
John Drew,0,0,0,52,197,270,270,293,293,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405
George Lynch,0,44,48,48,48,120,179,236,305,347,405,405,405,405,405,405,405,405,405,405,405,405,405,405,405
Bruce Brown,13,13,108,164,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404,404
Allen Leavell,39,114,156,156,156,162,237,378,398,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402
Kyle Macy,49,144,179,355,386,398,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402
Stephon Marbury,64,133,133,133,133,133,265,350,350,350,350,350,402,402,402,402,402,402,402,402,402,402,402,402,402
James Donaldson,0,54,78,78,78,187,203,361,361,383,383,387,387,387,401,401,401,401,401,401,401,401,401,401,401
Al Harrington,0,0,5,5,23,175,175,175,287,287,287,287,315,383,383,400,400,400,400,400,400,400,400,400,400
Dorian Finney-Smith,0,0,0,61,133,344,369,369,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
Anthony Peeler,0,0,89,117,117,198,225,255,289,316,345,395,399,399,399,399,399,399,399,399,399,399,399,399,399
Terrell Brandon,47,98,124,124,182,182,182,259,337,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398,398
Ersan Ilyasova,0,0,0,68,68,68,114,114,166,166,190,283,385,394,398,398,398,398,398,398,398,398,398,398,398
James Silas,0,7,274,317,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
Larry Wright,53,224,375,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397
Marvin Williams,0,0,80,110,202,259,306,306,306,306,342,342,342,342,397,397,397,397,397,397,397,397,397,397,397
Jay Humphries,49,49,49,49,180,207,252,252,278,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396
Lucious Harris,0,0,0,0,9,9,9,9,186,341,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396
Charlie Ward,0,32,52,118,210,360,385,385,385,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396
Cameron Payne,18,21,21,21,21,226,280,337,365,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395,395
Frankie Brian,95,95,112,157,198,325,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394
Al Attles,29,102,102,248,248,248,294,367,382,382,394,394,394,394,394,394,394,394,394,394,394,394,394,394,394
Mike Gminski,0,5,20,114,156,214,214,214,263,391,391,391,393,393,393,393,393,393,393,393,393,393,393,393,393
Jose Juan Barea,0,8,84,119,306,306,306,306,365,390,390,390,390,393,393,393,393,393,393,393,393,393,393,393,393
Kelly Tripucka,0,0,137,270,357,389,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391,391
Nick Collison,92,92,92,92,92,111,225,294,349,382,382,391,391,391,391,391,391,391,391,391,391,391,391,391,391
Joe Graboski,0,0,0,46,80,80,80,212,247,345,345,386,386,389,389,389,389,389,389,389,389,389,389,389,389
Chris Andersen,0,0,6,6,6,6,6,103,130,154,154,282,374,374,389,389,389,389,389,389,389,389,389,389,389
Si Green,0,0,36,233,370,370,370,370,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388
Voshon Lenard,0,194,266,303,303,303,303,303,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388,388
Ricky Sobers,247,247,247,247,247,326,326,326,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387,387
Cameron Johnson,0,172,312,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386,386
Charlie Share,19,67,67,67,170,262,335,361,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383
Woody Sauldsberry,103,103,219,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383
Nikola Mirotic,63,63,115,250,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383,383
Corey Brewer,0,0,0,9,67,132,132,323,345,345,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382
Rui Hachimura,0,74,74,269,308,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382,382
Darius Garland,0,0,0,103,291,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381,381
Darren Collison,0,47,143,143,253,253,253,253,332,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380,380
