"Jerry Lucas",,,,,,,,,,,,,,,,297,425,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435
"Ernie Vandeweghe",,,,32,133,284,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428,428
"Mikal Bridges",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,410
"Dick McGuire",,,,63,137,282,365,376,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396,396
"Charlie Ward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,52,118,210,360,385,385,385,385,385,385,385,385,385,385
"Mark Jackson",,,,,,,,,,,,,,,,,,,,,,,,57,189,223,225,325,325,325,325,325,325,325,325,325,370,370,370,370,370,370,370,370,370,370
"Chris Childs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,167,261,348,348,348,348,348,348,348,348,348,348,348
"Johnny Newman",,,,,,,,,,,,,,,,,,,,,,,,76,221,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338,338
"Miles McBride",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,146,250,325
"Bill Cartwright",,,,,,,,,,,,,,,,,,,,,20,87,296,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325
"Marcus Camby",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,284,309,309,309,309,311,311,311,311,311,311
"Kurt Thomas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,175,247,298,298,298,298,298,298,298,298,298
"Trent Tucker",,,,,,,,,,,,,,,,,,,,,,26,117,142,213,273,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297,297
"Greg Anthony",,,,,,,,,,,,,,,,,,,,,,,,,,,,63,122,244,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291
"RJ Barrett",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,284,284,284,284
"Ray Williams",,,,,,,,,,,,,,,,,,,,105,148,148,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271,271
"Julius Randle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,256,256,256,256
"Hubert Davis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,152,198,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251
"Kiki Vandeweghe",,,,,,,,,,,,,,,,,,,,,,,,,73,149,200,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236,236
"Donte DiVincenzo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,231,231
"Mike Riordan",,,,,,,,,,,,,52,183,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229,229
"Xavier McDaniel",,,,,,,,,,,,,,,,,,,,,,,,,,,,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226,226
"Mitchell Robinson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,88,172,223
"JR Smith",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,218,218,218,218,218,218
"Rory Sparrow",,,,,,,,,,,,,,,,,,,,,,78,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212,212
"Ray Lumpp",,,69,91,159,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208,208
"Bud Palmer",78,120,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
"Dave Stallworth",,,,,,,,,,,,,,137,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201,201
"Walt Bellamy",,,,,,,,,,,73,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193,193
"Truck Robinson",,,,,,,,,,,,,,,,,,,,,,94,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179
"Raymond Felton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,169,169,169,169,169
"Dean Meminger",,,,,,,,,,,,,,,,65,146,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169,169
"Alec Burks",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,70,159,159,159
"Maurice Cheeks",,,,,,,,,,,,,,,,,,,,,,,,,,128,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
"Doc Rivers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153,153
"Isaiah Hartenstein",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,144,144,144
"Bob McAdoo",,,,,,,,,,,,,,,,,,,,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143,143
"John Gianelli",,,,,,,,,,,,,,,,,25,113,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138
"Amare Stoudemire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,119,134,134,134,134,134,134
"Lee Knorek",53,91,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
"Louis Orr",,,,,,,,,,,,,,,,,,,,,,46,119,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
"Iman Shumpert",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,112,112,112,112,112,112
"Obi Toppin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,109,109,109,109
"Immanuel Quickley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,101,101,101,101
"Tyson Chandler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,99,99,99,99,99,99
"Stan Stutz",84,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Spencer Haywood",,,,,,,,,,,,,,,,,,,,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
